CustomerID,Total_Quantity,Avg_Price,Total_Online_Spend,Total_Offline_Spend,Avg_Discount_pct,Tenure_Months,Unique_Products,Num_Transactions,Primary_Location,Cat_Accessories,Cat_Android,Cat_Apparel,Cat_Backpacks,Cat_Bags,Cat_Bottles,Cat_Drinkware,Cat_Fun,Cat_Gift Cards,Cat_Google,Cat_Headgear,Cat_Housewares,Cat_Lifestyle,Cat_More Bags,Cat_Nest,Cat_Nest-Canada,Cat_Nest-USA,Cat_Notebooks & Journals,Cat_Office,Cat_Waze
13565.0,15.0,64.06769230769231,33329.79,39000.0,20.0,8.0,11,13,New Jersey,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0
13569.0,134.0,36.15541666666667,56779.44,48000.0,30.0,14.0,21,24,Chicago,0.0,0.0,0.16666666666666666,0.0,0.041666666666666664,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.08333333333333333,0.25,0.0
13576.0,226.0,34.10205882352941,67483.19,83500.0,13.235294117647058,23.0,30,34,New York,0.0,0.0,0.5294117647058824,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.17647058823529413,0.0,0.14705882352941177,0.0
13579.0,9.0,53.504444444444445,11327.4,36000.0,30.0,49.0,8,9,New York,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0
13581.0,15.0,69.624,28297.1,45000.0,30.0,47.0,9,10,California,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.3,0.0
13584.0,35.0,83.80916666666667,62518.44,96000.0,30.0,35.0,21,24,Chicago,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.375,0.0,0.0,0.0
13593.0,171.0,26.130000000000003,70291.06,117000.0,20.0,28.0,29,39,California,0.0,0.0,0.28205128205128205,0.0,0.02564102564102564,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.02564102564102564,0.1282051282051282,0.05128205128205128
13599.0,32.0,40.284666666666666,53067.939999999995,53000.0,23.0,46.0,27,30,California,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.03333333333333333,0.13333333333333333,0.0
13600.0,23.0,110.7821052631579,36236.61,57000.0,30.0,13.0,15,19,California,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.21052631578947367,0.0,0.3684210526315789,0.0,0.05263157894736842,0.0
13606.0,4.0,80.52333333333333,5872.74,10500.0,30.0,28.0,3,3,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
