support,itemsets
0.11987860394537178,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Four Color Retractable Pen'})"
0.11229135053110774,"frozenset({'Google 22 oz Water Bottle', 'Google Doodle Decal'})"
0.18285280728376327,"frozenset({'Google 22 oz Water Bottle', 'Google Laptop and Cell Phone Stickers'})"
0.125948406676783,"frozenset({'Google 22 oz Water Bottle', ""Google Men's 100% Cotton Short Sleeve Hero Tee Black""})"
0.1062215477996965,"frozenset({'Google 22 oz Water Bottle', ""Google Men's 100% Cotton Short Sleeve Hero Tee White""})"
0.1062215477996965,"frozenset({'Google 22 oz Water Bottle', ""Google Men's Bike Short Sleeve Tee Charcoal""})"
0.10773899848254932,"frozenset({'Google 22 oz Water Bottle', ""Google Men's Vintage Badge Tee Black""})"
0.1047040971168437,"frozenset({'Google 22 oz Water Bottle', 'Google Metallic Notebook Set'})"
0.18512898330804248,"frozenset({'Google 22 oz Water Bottle', 'Google Sunglasses'})"
0.1267071320182094,"frozenset({'Google 22 oz Water Bottle', 'Google Twill Cap'})"
0.10242792109256449,"frozenset({'Google 22 oz Water Bottle', 'Maze Pen'})"
0.1267071320182094,"frozenset({'Google 22 oz Water Bottle', 'Nest Cam IQ - USA'})"
0.2746585735963581,"frozenset({'Google 22 oz Water Bottle', 'Nest Cam Indoor Security Camera - USA'})"
0.2716236722306525,"frozenset({'Google 22 oz Water Bottle', 'Nest Cam Outdoor Security Camera - USA'})"
0.10242792109256449,"frozenset({'Google 22 oz Water Bottle', 'Nest Learning Thermostat 3rd Gen-USA - Copper'})"
0.27996965098634297,"frozenset({'Google 22 oz Water Bottle', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.17754172989377845,"frozenset({'Google 22 oz Water Bottle', 'Nest Learning Thermostat 3rd Gen-USA - White'})"
0.20182094081942337,"frozenset({'Google 22 oz Water Bottle', 'Nest Protect Smoke + CO White Battery Alarm-USA'})"
0.18892261001517452,"frozenset({'Google 22 oz Water Bottle', 'Nest Protect Smoke + CO White Wired Alarm-USA'})"
0.11608497723823975,"frozenset({'Google 22 oz Water Bottle', 'Nest Thermostat E - USA'})"
0.13657056145675264,"frozenset({'Google 22 oz Water Bottle', 'Sport Bag'})"
0.11380880121396054,"frozenset({'Google 22 oz Water Bottle', 'Windup Android'})"
0.13125948406676782,"frozenset({'Google 22 oz Water Bottle', 'YouTube Custom Decals'})"
0.12139605462822459,"frozenset({'Google Blackout Cap', 'Nest Cam Indoor Security Camera - USA'})"
0.12139605462822459,"frozenset({'Google Blackout Cap', 'Nest Cam Outdoor Security Camera - USA'})"
0.12215477996965099,"frozenset({'Google Blackout Cap', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
0.13960546282245828,"frozenset({'Google Doodle Decal', 'Google Laptop and Cell Phone Stickers'})"
0.11456752655538695,"frozenset({'Google Doodle Decal', 'Google Sunglasses'})"
0.16843702579666162,"frozenset({'Google Doodle Decal', 'Nest Cam Indoor Security Camera - USA'})"
0.1631259484066768,"frozenset({'Google Doodle Decal', 'Nest Cam Outdoor Security Camera - USA'})"
0.165402124430956,"frozenset({'Google Doodle Decal', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})"
