Product_Description,1,2,3,4,5,6,7,8,9,10,11,12,Cluster_Producte
Women's Performance Full Zip Jacket Black,4,2,14,10,13,4,9,8,4,8,0,0,3
Women's Weatherblock Shell Jacket Black,0,1,7,8,2,1,5,10,3,6,0,0,3
Yoga Block,0,2,3,2,6,4,8,1,0,0,0,0,1
Yoga Mat Blue,5,4,6,1,7,5,7,14,16,2,0,0,5
Yoga Mat Purple,1,4,3,0,0,0,3,0,0,0,0,0,4
You Tube Toddler Short Sleeve Tee Red,2,7,4,8,5,6,2,16,4,0,0,0,3
YouTube Custom Decals,38,26,37,34,42,28,18,22,21,44,65,44,3
YouTube Hard Cover Journal,4,4,10,6,4,5,10,17,1,0,0,0,3
YouTube Infant Short Sleeve Tee Red,2,1,3,0,0,0,0,0,0,0,0,0,2
YouTube Leatherette Notebook Combo,27,15,19,12,19,25,6,2,0,1,0,0,7
YouTube Luggage Tag,2,4,2,2,2,6,0,0,0,0,0,0,7
YouTube Men's 3/4 Sleeve Henley,0,1,2,0,1,0,0,0,0,0,0,0,4
YouTube Men's Fleece Hoodie Black,12,13,10,15,9,10,33,30,1,1,0,0,3
YouTube Men's Long & Lean Tee Charcoal,0,0,3,6,5,3,6,16,13,18,6,0,5
YouTube Men's Long Sleeve Pullover Badge Tee Heather,6,1,3,0,0,0,0,0,0,0,0,0,2
YouTube Men's Short Sleeve Hero Tee  White,1,0,0,0,0,0,0,2,1,8,3,0,0
YouTube Men's Short Sleeve Hero Tee Black,15,13,24,17,18,15,17,28,23,13,1,0,3
YouTube Men's Short Sleeve Hero Tee Charcoal,15,14,22,21,17,25,13,26,7,0,0,0,3
YouTube Men's Short Sleeve Hero Tee White,2,4,10,7,13,7,7,1,0,0,0,0,7
YouTube Men's Skater Tee Charcoal,0,0,1,2,4,2,3,5,6,4,0,0,5
YouTube Men's Vintage Henley,2,1,8,3,1,12,16,20,3,8,13,0,5
YouTube Men's Vintage Tank,0,1,6,8,14,15,9,7,4,2,3,0,1
YouTube Men's Vintage Tee,9,10,14,0,0,0,0,0,0,0,0,0,2
YouTube Notebook and Pen Set,3,3,7,11,8,0,0,0,0,0,0,0,7
YouTube Onesie Heather,1,4,5,9,5,12,3,0,0,0,0,0,7
YouTube RFID Journal,3,1,0,3,2,3,9,3,0,0,0,0,1
YouTube Spiral Journal with Pen,9,5,3,10,6,0,0,0,0,0,0,0,7
YouTube Trucker Hat,7,9,10,0,0,0,0,0,0,0,0,0,2
YouTube Twill Cap,14,8,20,21,25,32,26,34,2,0,0,0,1
YouTube Women's Fleece Hoodie Black,7,9,7,23,12,5,1,4,1,5,2,0,7
YouTube Women's Racer Back Tank Black,0,1,2,2,0,0,0,0,0,0,0,0,4
YouTube Women's Short Sleeve Hero Tee Charcoal,6,3,7,1,4,7,5,14,1,5,0,0,3
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,5,1,5,8,4,3,5,12,11,10,18,1,3
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,0,1,1,2,1,4,2,0,0,0,0,0,1
YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,1,2,2,2,0,0,0,0,0,0,0,0,4
YouTube Wool Heather Cap Heather/Black,5,1,3,5,0,1,0,0,0,0,0,0,4
YouTube Youth Short Sleeve Tee Red,7,11,19,11,19,21,10,14,4,0,0,0,1
