Product_Description,1,2,3,4,5,6,7,8,9,10,11,12,Cluster_Producte
Color Changing Grip Pen,8,10,20,15,27,6,0,0,0,0,0,0,7
Colored Pencil Set,16,13,10,14,19,15,11,16,29,14,0,0,3
Compact Selfie Stick,10,3,11,10,1,6,10,3,0,0,0,0,4
Crunch Noise Dog Toy,11,14,14,8,8,12,34,19,6,0,0,0,3
Electronics Accessory Pouch,16,9,12,6,16,10,16,0,0,0,0,0,7
Emoji Sticker Sheet,0,0,0,0,0,0,0,0,7,25,8,0,0
Engraved Ceramic Google Mug,47,40,36,5,0,0,0,0,0,0,0,0,2
Executive Twist Ballpoint Pen,5,4,5,3,5,7,0,0,0,0,0,0,7
Foam Can and Bottle Cooler,15,17,24,18,31,22,53,69,34,9,0,0,5
Four Color Retractable Pen,22,16,26,14,12,18,25,30,42,37,45,37,3
Galaxy Screen Cleaning Cloth,10,14,18,18,12,6,12,13,20,5,0,0,3
Gel Roller Pen,5,3,7,13,12,0,0,0,0,0,0,0,7
Gift Card - $25.00,1,2,5,1,21,6,8,2,0,1,0,4,6
Gift Card - $250.00,0,0,1,2,0,0,0,0,2,39,0,1,0
Gift Card - $50.00,2,1,0,4,3,0,1,1,0,0,0,0,7
Gift Card- $100.00,1,3,0,0,1,4,1,2,1,28,0,4,0
Google 17 oz Double Wall Stainless Steel Insulated Bottle,0,5,7,10,11,13,12,6,0,0,0,0,1
Google 17oz Stainless Steel Sport Bottle,13,15,30,11,18,21,24,36,25,51,6,0,3
Google 22 oz Water Bottle,44,61,70,59,82,72,63,90,91,132,118,20,3
Google 25 oz Blue Stainless Steel Bottle,10,9,12,14,2,0,0,0,0,0,0,0,4
Google 25 oz Clear Stainless Steel Bottle,21,10,10,0,0,0,0,0,0,0,0,0,2
Google 25 oz Red Stainless Steel Bottle,11,9,6,11,12,2,5,22,11,2,0,0,3
Google 3/4 Sleeve Raglan Badge Henley Black,7,4,3,6,0,0,0,0,0,0,1,0,4
Google 40 oz Insulated Monster Bottle,4,5,3,0,0,0,0,0,0,0,0,0,2
Google 5-Panel Cap,7,4,5,6,8,6,8,9,0,0,1,0,3
Google 5-Panel Snapback Cap,0,5,8,3,6,5,22,14,0,0,0,0,5
Google Accent Insulated Stainless Steel Bottle,7,2,7,7,1,0,0,0,0,0,0,0,4
Google Alpine Style Backpack,10,4,10,14,6,9,5,19,5,26,21,28,0
Google Baby Essentials Set,0,0,0,20,31,41,16,0,1,0,0,0,6
Google Ballpoint Pen Black,13,6,16,1,18,13,0,0,0,0,0,0,7
Google Blackout Cap,4,9,5,4,16,20,42,84,57,22,1,0,5
Google Canvas Tote Natural/Navy,9,11,25,21,23,23,31,39,29,2,0,0,3
Google Collapsible Duffel Black,4,0,7,9,9,0,0,0,0,0,0,0,7
Google Collapsible Duffel Blue,1,4,8,4,0,0,0,0,0,0,0,0,4
Google Collapsible Pet Bowl,6,4,8,10,17,8,9,19,19,12,0,0,3
Google Doodle Decal,23,27,13,34,30,22,42,30,43,43,13,0,3
Google Executive Umbrella,2,3,2,3,2,4,22,3,0,0,0,0,1
Google French Terry Cap,7,2,2,0,0,0,0,0,0,0,1,0,2
Google Hard Cover Journal,15,21,14,10,9,5,12,26,18,0,0,0,3
Google Infant Short Sleeve Tee Cornflower Blue,1,1,3,0,0,0,0,0,0,0,0,0,2
Google Infant Short Sleeve Tee Red,2,0,1,2,2,1,4,14,6,13,8,4,5
Google Infant Short Sleeve Tee Royal Blue,0,0,0,0,2,1,3,9,4,0,0,0,5
Google Infant Short Sleeve Tee White,1,3,8,7,6,4,10,17,8,0,1,0,5
