antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Outdoor Security Camera - USA', 'Nest Cam Indoor Security Camera - USA'})",0.13732928679817905,0.18892261001517452,0.10166919575113809,0.7403314917127073,3.9187024340455747,1.0,0.07572458845770365,3.1235107997287974,0.8633809842607542,0.45270270270270274,0.6798474331874165,0.6392420510772372
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Outdoor Security Camera - USA'})",0.13732928679817905,0.19271623672230653,0.10318664643399089,0.7513812154696133,3.8988993779092533,1.0,0.0767210630904875,3.247074692294724,0.86187852449687,0.4548494983277592,0.6920304905911188,0.6434071431678775
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Indoor Security Camera - USA'})",0.13732928679817905,0.19726858877086495,0.1054628224582701,0.7679558011049724,3.8929451763705907,1.0,0.07837206785468395,3.4593901293446065,0.8614237897281121,0.4602649006622517,0.7109317068585573,0.6512855928601785
"frozenset({'Nest Cam Outdoor Security Camera - USA', 'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Indoor Security Camera - USA'})",0.12215477996965099,0.21623672230652505,0.10166919575113809,0.8322981366459627,3.849013838945189,1.0,0.075254846516426,4.673551396616648,0.8431932816470801,0.42948717948717946,0.7860299555657104,0.6512367876212269
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Cam Indoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Outdoor Security Camera - USA'})",0.12898330804248861,0.2071320182094082,0.10166919575113809,0.788235294117647,3.805472958414135,1.0,0.07495262284097162,3.7440988029000164,0.8463908679598523,0.43365695792880266,0.7329130312412045,0.6395388924800689
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Outdoor Security Camera - USA'})",0.13125948406676782,0.2071320182094082,0.10318664643399089,0.7861271676300579,3.7952952635033563,1.0,0.07599860459011562,3.7071935364803354,0.8477973285384023,0.4387096774193549,0.7302541693171447,0.642147832899278
"frozenset({'Nest Cam Outdoor Security Camera - USA', 'Nest Learning Thermostat 3rd Gen-USA - White', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel'})",0.12215477996965099,0.22458270106221548,0.10318664643399089,0.8447204968944099,3.7612892395501087,1.0,0.07575279600074605,4.9936874051593305,0.8362906095886928,0.4236760124610592,0.7997471770125559,0.6520899781769347
"frozenset({'Nest Cam Indoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Outdoor Security Camera - USA'})",0.1661608497723824,0.19271623672230653,0.11987860394537178,0.7214611872146118,3.7436450580663716,1.0,0.08785671028665773,2.8982810517674564,0.8789233019661142,0.5015873015873016,0.6549678992000548,0.67175421565455
"frozenset({'Nest Cam Outdoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Indoor Security Camera - USA'})",0.16236722306525037,0.19726858877086495,0.11987860394537178,0.7383177570093459,3.7427030913012227,1.0,0.08784865098864561,3.0675807500541956,0.8748624105668686,0.5000000000000001,0.6740102114728902,0.6730050323508268
"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Nest Cam Indoor Security Camera - USA', 'Nest Secure Alarm System Starter Pack - USA'})","frozenset({'Nest Thermostat E - USA', 'Nest Cam Outdoor Security Camera - USA'})",0.15477996965098634,0.2071320182094082,0.11987860394537178,0.7745098039215687,3.7392085039143863,1.0,0.08781871645317203,3.516197136636538,0.8667136331613754,0.4952978056426333,0.7156018388216531,0.6766321913380737
